City_ID,City,Country,Max Temperature,Current Description,Latitude,Longitude,Hotel Name
159,Tsabong,BW,73.47,clear sky,-26.0217,22.401,Springbok Motel
160,New Norfolk,AU,72.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
161,Namibe,AO,73.22,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
164,Naze,JP,60.8,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
166,Mitsamiouli,KM,82.06,broken clouds,-11.3847,43.2844,Foyer ADM
168,Nelson Bay,AU,82.4,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
173,Moerai,PF,81.0,light rain,-22.4333,-151.3333,Le Manotel
176,Port Alfred,ZA,64.0,clear sky,-33.5906,26.891,The Halyards Hotel
179,Ca Mau,VN,83.59,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
180,Ruteng,ID,68.49,overcast clouds,-8.6136,120.4721,Hotel FX72 Ruteng
181,Lucapa,AO,63.48,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
186,Poum,NC,81.27,clear sky,-20.2333,164.0167,Gîte kajeon
187,Kruisfontein,ZA,57.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
188,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
191,Pangkalanbuun,ID,79.14,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
196,Port Elizabeth,ZA,59.0,clear sky,-33.918,25.5701,39 On Nile Guest House
201,Son La,VN,59.45,broken clouds,21.3167,103.9,Galaxy Grand Hotel
204,Japura,ID,81.37,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
206,Castro,BR,62.65,light rain,-24.7911,-50.0119,CHACARA BAILLY
207,Brownsville,US,66.2,clear sky,25.9018,-97.4975,Hotel Alameda Express
209,Posse,BR,71.46,scattered clouds,-14.0931,-46.3694,Pousada das Palmeiras
211,Rocha,UY,66.11,clear sky,-34.4833,-54.3333,Beleza Pura B&B
214,Mar Del Plata,AR,66.99,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
215,Narasapur,IN,74.82,broken clouds,16.45,81.6667,TCI Xps
216,Ponta Do Sol,PT,57.99,few clouds,32.6667,-17.1,Hotel do Campo
218,Atar,MR,65.17,scattered clouds,20.5169,-13.0499,Oumou Elghoura
228,Parauna,BR,70.41,overcast clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
229,Santa Vitoria Do Palmar,BR,68.7,clear sky,-33.5189,-53.3681,Hostel Comodoro
231,Mafra,BR,65.48,overcast clouds,-26.1114,-49.8053,Hotel Emacite Flex
234,Tura,IN,59.22,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
237,Phalaborwa,ZA,71.6,broken clouds,-23.943,31.1411,Bothabelo B&B
239,Matadi,CD,73.78,overcast clouds,-5.8167,13.45,Hotel Fortune
242,Sao Joao Da Barra,BR,77.68,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
243,Samarai,PG,84.04,overcast clouds,-10.6167,150.6667,Nuli Sapi
246,Constitucion,CL,61.45,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
247,Cidreira,BR,75.16,scattered clouds,-30.1811,-50.2056,Hotel Castelo
248,Kapoeta,SS,82.0,broken clouds,4.7717,33.5903,Eastgate Hotel
249,Khawhai,IN,58.69,clear sky,23.3667,93.1167,Homestay Khawhai
252,Banda Aceh,ID,80.42,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
253,Bakel,SN,70.61,clear sky,14.905,-12.4568,Ablaye Diallo Bakel
256,Mizan Teferi,ET,66.81,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
258,Huai Yot,TH,84.99,few clouds,7.7893,99.6348,สาม
260,Peabiru,BR,75.2,broken clouds,-23.9128,-52.3431,La visa hotel
261,Bubaque,GW,78.3,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
264,Kirakira,SB,84.11,overcast clouds,-10.4544,161.9205,SanBiz Lodge
268,Atambua,ID,78.49,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
269,Yenagoa,NG,77.45,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
270,Coffs Harbour,AU,80.01,overcast clouds,-30.3,153.1333,Aquajet Motel
272,Santo Antonio Do Ica,BR,74.89,clear sky,-3.1022,-67.9397,Hotel Fogaça
273,Lata,PT,57.99,overcast clouds,40.1629,-8.3327,Casa Maquia
274,Puerto Carreno,CO,80.58,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
275,Tevaitoa,PF,80.85,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
278,Faanui,PF,81.0,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
281,Puri,IN,66.2,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
282,San Quintin,MX,56.3,clear sky,30.4833,-115.95,Old Mill Hotel
287,Kavaratti,IN,80.24,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
290,Koster,ZA,61.92,light rain,-25.863000000000003,26.8976,Klub Kranskuil
293,Rio Cuarto,AR,66.99,overcast clouds,-33.1307,-64.3499,Hotel Menossi
296,Linhares,BR,71.74,clear sky,-19.3911,-40.0722,Hotel Conceição
297,Sao Miguel Do Araguaia,BR,72.77,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
299,Padang,ID,77.0,broken clouds,-0.9492,100.3543,Mercure Padang
303,Assai,BR,71.6,broken clouds,-23.3733,-50.8414,Árvore Menor
306,Viedma,AR,57.99,clear sky,-40.8135,-62.9967,Hotel Cristal
308,Kourou,GF,77.0,mist,5.1552,-52.6478,Lodge Takini 4
311,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
316,Flinders,AU,80.01,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
317,Codrington,AU,62.98,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
318,Mongu,ZM,68.27,overcast clouds,-15.2484,23.1274,Country Lodge Mongu
319,Cururupu,BR,77.09,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
320,Lagoa,PT,59.79,overcast clouds,39.05,-27.9833,Casa Das Faias
323,Linares,CL,60.93,moderate rain,-35.85,-71.6,Hotel Real
325,Luganville,VU,84.02,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
329,Caxias,PT,59.0,broken clouds,38.7031,-9.2767,Amazónia Jamor Hotel
330,Digri,PK,57.11,clear sky,25.1558,69.1113,Sindh Green Hotel
333,Beitbridge,ZW,74.16,overcast clouds,-22.2167,30.0,PETERS MOTEL & CONFERENCE CENTRE
337,Burnie,AU,69.01,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
342,Whitianga,NZ,67.28,few clouds,-36.8333,175.7,Beachside Resort Whitianga
344,Maiduguri,NG,63.75,clear sky,11.8464,13.1603,College of Nursing & Midwifery Female's Hostel
347,Saurimo,AO,63.32,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
350,Muana,BR,76.15,heavy intensity rain,-1.5283,-49.2167,Pousada Bella do Marajó
351,Talcahuano,CL,57.2,fog,-36.7167,-73.1167,Hotel Terramar
352,Madarounfa,NE,64.92,clear sky,13.3087,7.156000000000001,Madarounfa centre ville
354,Esperance,AU,71.6,clear sky,-33.8667,121.9,Hospitality Esperance
355,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
357,Nabire,ID,79.88,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
359,Kununurra,AU,80.6,broken clouds,-15.7667,128.7333,Hotel Kununurra
360,Makakilo City,US,80.6,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
363,Teknaf,BD,72.03,clear sky,20.8624,92.3058,Forestry Guesthouse
365,Te Anau,NZ,66.49,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
369,Mount Gambier,AU,66.2,overcast clouds,-37.8333,140.7667,Commodore on the Park
370,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
372,Dingle,PH,76.93,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
381,Necochea,AR,66.0,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
383,Guaruja,BR,84.99,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
384,Sawakin,SD,70.02,overcast clouds,19.1059,37.3321,فندق الدويم
385,Cascais,PT,59.0,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
391,Nouadhibou,MR,66.2,clear sky,20.930999999999997,-17.0347,El Medina
393,Harper,LR,77.83,clear sky,4.375,-7.7169,Screensaver
397,Sao Filipe,CV,74.64,overcast clouds,14.8961,-24.4956,Tortuga B&B
400,Ballina,AU,82.99,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
405,Corrente,BR,73.71,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
407,Inirida,CO,76.55,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
410,Rawson,AR,57.38,clear sky,-43.3002,-65.1023,Hosteria Sampedro
412,Cabo San Lucas,MX,70.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
415,Azare,NG,62.47,clear sky,11.6765,10.1948,Muk hostel
421,Maryborough,AU,83.79,broken clouds,-25.5333,152.7,Blue Shades Motel
422,Arlit,NE,55.11,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
423,Ilo,PE,68.5,clear sky,-17.6394,-71.3375,Torreblanca Hotel
424,Palauig,PH,80.17,few clouds,15.435,119.9045,Myhousebythesea
432,Hirara,JP,64.4,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
437,San Patricio,US,69.8,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
438,Nishihara,JP,62.6,scattered clouds,26.1842,127.7558,Minshuku Agaihama
440,Petatlan,MX,73.63,broken clouds,17.5167,-101.2667,Hotel California Petatlán
441,Huarmey,PE,70.9,broken clouds,-10.0681,-78.1522,Hotel Miramar
443,Acapulco,MX,80.6,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
444,Mercedes,AR,70.0,clear sky,-34.6515,-59.4307,Posada del Inti Centro
445,Port Blair,IN,82.56,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
449,Ewa Beach,US,80.6,scattered clouds,21.3156,-158.0072,Base Lodging
451,Solwezi,ZM,59.94,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
454,Non Sang,TH,75.99,clear sky,16.8687,102.5664,Sabaidee@Home Nonsang
456,Alugan,PH,78.8,overcast clouds,12.2188,125.4808,JM Lodge
457,Biltine,TD,66.7,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
458,Mazara Del Vallo,IT,59.0,few clouds,37.6641,12.588,Vizier Resort & Spa
462,Santa Cruz,BO,75.2,overcast clouds,-17.8,-63.1667,Hotel Cortez
471,Matamoros,MX,73.4,broken clouds,25.5333,-103.25,Quinta Belem
473,Ulladulla,AU,80.6,scattered clouds,-35.35,150.4667,Sandpiper Motel
474,Sydney,AU,78.8,light rain,-33.8679,151.2073,The Grace Sydney
